song_id,title,rank,year
783,Hall Of Fame,85,2013
784,Let Me Love You (Until You Learn To Love Yourself),86,2013
785,U.O.E.N.O.,87,2013
786,Next To Me,88,2013
787,Mama's Broken Heart,89,2013
788,It Goes Like This,90,2013
789,Bugatti,91,2013
790,Wanted,92,2013
791,Downtown,93,2013
792,Get Your Shine On,94,2013
793,#thatPOWER,95,2013
794,Brave,96,2013
795,Let Her Go,97,2013
796,Runnin' Outta Moonlight,98,2013
797,I'm Different,99,2013
798,Still Into You,100,2013
799,Happy,1,2014
800,Dark Horse,2,2014
801,All Of Me,3,2014
802,Fancy,4,2014
803,Counting Stars,5,2014
804,Talk Dirty,6,2014
805,Rude,7,2014
806,All About That Bass,8,2014
807,Problem,9,2014
808,Stay With Me,10,2014
809,Timber,11,2014
810,Pompeii,12,2014
811,Shake It Off,13,2014
812,Am I Wrong,14,2014
813,Turn Down For What,15,2014
814,The Monster,16,2014
815,Say Something,17,2014
816,Team,18,2014
817,Let Her Go,19,2014
818,Royals,20,2014
819,Let It Go,21,2014
820,Wake Me Up!,22,2014
821,Demons,23,2014
822,Story Of My Life,24,2014
823,Chandelier,25,2014
824,Black Widow,26,2014
825,Bang Bang,27,2014
826,Latch,28,2014
827,Maps,29,2014
828,Loyal,30,2014
829,Best Day Of My Life,31,2014
830,Habits (Stay High),32,2014
831,Summer,33,2014
832,Boom Clap,34,2014
833,Drunk In Love,35,2014
834,Anaconda,36,2014
835,Break Free,37,2014
836,Bailando,38,2014
837,Burn,39,2014
838,Wiggle,40,2014
839,Rather Be,41,2014
840,Don't Tell 'Em,42,2014
841,Show Me,43,2014
842,Wrecking Ball,44,2014
843,Not A Bad Thing,45,2014
844,Roar,46,2014
845,Ain't It Fun,47,2014
846,The Man,48,2014
847,This Is How We Roll,49,2014
848,Classic,50,2014
849,A Sky Full Of Stars,51,2014
850,Don't,52,2014
851,Na Na,53,2014
852,Hot Boy,54,2014
853,"Hold On, We're Going Home",55,2014
854,Sing,56,2014
855,Radioactive,57,2014
856,My Hitta,58,2014
857,Cool Kids,59,2014
858,Hey Brother,60,2014
859,Trumpets,61,2014
860,Animals,62,2014
861,Burnin' It Down,63,2014
862,Play It Again,64,2014
863,2 On,65,2014
864,Dirt,66,2014
865,Love Runs Out,67,2014
866,Bottoms Up,68,2014
867,Shower,69,2014
868,Me And My Broken Heart,70,2014
869,Animals,71,2014
870,Lifestyle,72,2014
871,American Kids,73,2014
872,Brave,74,2014
873,Sweater Weather,75,2014
874,Leave The Night On,76,2014
875,New Flame,77,2014
876,Love Never Felt So Good,78,2014
877,Drunk On A Plane,79,2014
878,Birthday,80,2014
879,Bartender,81,2014
880,La La La,82,2014
881,Blurred Lines,83,2014
882,Do What U Want,84,2014
883,Can't Remember To Forget You,85,2014
884,Amnesia,86,2014
885,No Mediocre,87,2014
886,Come With Me Now,88,2014
887,Believe Me,89,2014
888,23,90,2014
889,Beachin',91,2014
890,White Walls,92,2014
891,She Looks So Perfect,93,2014
892,Stay The Night,94,2014
893,Partition,95,2014
894,Studio,96,2014
895,0 To 100 / The Catch Up,97,2014
896,I Don't Dance,98,2014
897,Somethin' Bad,99,2014
898,Adore You,100,2014
899,Uptown Funk!,1,2015
900,Thinking Out Loud,2,2015
901,See You Again,3,2015
902,Trap Queen,4,2015
903,Sugar,5,2015
904,Shut Up And Dance,6,2015
905,Blank Space,7,2015
906,Watch Me,8,2015
907,Earned It (Fifty Shades Of Grey),9,2015
908,The Hills,10,2015
909,Cheerleader,11,2015
910,Can't Feel My Face,12,2015
911,Love Me Like You Do,13,2015
912,Take Me To Church,14,2015
913,Bad Blood,15,2015
914,Lean On,16,2015
915,Want To Want Me,17,2015
916,Shake It Off,18,2015
917,Where Are U Now,19,2015
918,Fight Song,20,2015
919,679,21,2015
920,Lips Are Movin,22,2015
921,Worth It,23,2015
922,Post To Be,24,2015
923,"Honey, I'm Good.",25,2015
924,I'm Not The Only One,26,2015
925,Good For You,27,2015
926,All About That Bass,28,2015
927,Style,29,2015
928,Hotline Bling,30,2015
929,Hey Mama,31,2015
930,G.D.F.R.,32,2015
931,What Do You Mean?,33,2015
932,Photograph,34,2015
933,Hello,35,2015
934,Stitches,36,2015
935,Talking Body,37,2015
936,Jealous,38,2015
937,Time Of Our Lives,39,2015
938,Locked Away,40,2015
939,Somebody,41,2015
940,FourFiveSeconds,42,2015
941,Centuries,43,2015
942,My Way,44,2015
943,Take Your Time,45,2015
944,Animals,46,2015
945,I Don't F**k With You,47,2015
946,B**** Better Have My Money,48,2015
947,Flex (Ooh Ooh Ooh),49,2015
948,Nasty Freestyle,50,2015
949,Only,51,2015
950,Elastic Heart,52,2015
951,Cool For The Summer,53,2015
952,Renegades,54,2015
953,I Don't Mind,55,2015
954,Love Me Harder,56,2015
955,Wildest Dreams,57,2015
956,Stay With Me,58,2015
957,You Know You Like It,59,2015
958,Uma Thurman,60,2015
959,7/11,61,2015
960,The Heart Wants What It Wants,62,2015
961,Girl Crush,63,2015
962,Slow Motion,64,2015
