fk_song,fk_artist
1321,142
1322,271
1323,378
1323,242
1324,375
1325,389
1326,595
1327,534
1327,714
1328,353
1328,673
1328,498
1329,534
1330,7
1331,176
1331,556
1332,145
1333,36
1334,100
1334,88
1335,100
1336,632
1337,385
1338,11
1339,2
1340,632
1340,84
1341,49
1341,176
1342,529
1342,390
1343,409
1344,72
1345,316
1346,596
1347,183
1347,343
1348,241
1348,88
1348,353
1349,461
1350,68
1351,157
1352,467
1352,444
1353,69
1354,171
1354,592
1354,509
1354,100
1355,190
1355,166
1355,621
1356,95
1357,370
1358,511
1359,534
1360,409
1361,714
1361,271
1361,673
1362,143
1362,328
1362,607
1363,706
1364,60
1365,128
1366,100
1366,49
1366,270
1367,593
1368,210
1369,36
1370,60
1371,378
1372,522
1373,585
1374,704
1375,312
1376,408
1377,188
1378,372
1379,11
1379,9
1380,580
1381,378
1381,142
1382,657
1383,324
1384,498
1384,100
1385,343
1385,495
1386,427
1386,324
1387,436
1387,142
1388,145
1389,494
1390,436
1390,488
1390,677
1391,213
1392,52
1392,98
1393,115
1394,145
1395,36
1395,609
1396,510
1397,316
1398,655
1399,534
1400,566
1401,177
1402,142
1402,566
1403,249
1404,222
1404,176
1405,426
1406,421
1407,375
1408,173
1409,224
1409,114
1410,273
1410,142
1410,668
1410,392
1411,666
1412,436
1413,37
1414,319
1414,540
1415,60
1416,578
1417,249
1418,375
1419,674
1420,145
1420,319
1421,100
1421,436
1422,467
1422,566
1423,67
1424,384
1425,655
1426,142
1427,592
1428,399
1429,176
1430,177
1431,461
1432,285
1432,283
1433,122
1433,176
1434,98
1434,142
1435,90
1436,122
1436,714
1437,566
1437,467
1438,176
1438,381
1439,378
1440,535
1440,53
1441,595
1441,98
1442,673
1443,60
1444,3
1444,262
1445,365
1445,36
1446,532
1446,378
1446,142
1447,66
1447,270
1448,565
1449,68
1449,244
1450,593
1451,316
1451,427
1452,399
1453,314
1453,318
1454,378
1454,6
1455,319
1456,499
1457,282
1458,620
1459,194
1459,316
1460,316
1460,715
1461,616
1462,415
1462,627
1463,170
1463,176
1464,422
1465,372
1466,579
1467,408
1468,385
1469,714
1469,242
1470,101
1470,372
1471,378
1472,706
1472,316
1473,378
1474,312
1475,532
1475,8
1475,566
1476,378
1477,36
1477,319
1478,532
1478,390
1479,248
1480,532
1481,56
1481,243
1482,409
1483,650
1483,673
1483,344
1484,173
1484,678
1485,324
1485,621
1485,343
1486,324
1487,565
1487,39
1488,452
1489,316
1490,409
1490,196
1491,301
1492,619
1492,193
1493,461
1494,409
1495,458
1496,246
1496,702
1497,494
1497,566
1498,177
1499,655
1499,36
1500,655
1501,3
1501,262
1502,501
1503,173
1503,623
1504,88
1504,31
1505,501
1506,385
1507,319
1507,146
1507,230
1508,90
1509,644
1509,319
1510,501
1511,36
1512,183
1513,231
1514,644
1515,409
1516,122
1516,714
1517,431
1518,36
1518,173
1518,436
1519,532
1520,413
1520,67
1521,385
1521,273
1522,60
1523,100
1524,689
1525,49
1525,300
1526,585
1526,173
1527,529
1528,230
1529,532
1529,378
1529,142
1530,390
1530,10
1531,426
1531,436
1532,319
1532,111
1533,378
1534,629
1535,501
1536,531
1536,381
1537,224
1537,114
1538,90
1539,458
1540,173
1540,655
1541,614
1541,531
1541,142
1542,176
1542,381
1543,173
1544,176
1544,378
1545,176
1545,222
1545,714
1546,322
1547,129
1548,268
1548,242
1548,174
1548,475
1549,623
1550,123
1551,436
1552,632
1553,20
1554,409
1555,717
1555,176
1556,170
1556,378
1556,381
1557,695
1557,319
1557,634
1558,573
1558,421
1559,224
1560,427
1560,312
1561,145
1562,319
1562,57
1563,420
1564,173
1565,176
1566,124
1566,324
1567,478
1567,213
1568,436
1569,566
1570,40
1571,319
1572,460
1573,458
1574,436
1574,142
1575,422
1576,132
1576,381
1577,657
1578,330
1578,510
1579,178
1580,49
1581,492
1582,282
1582,103
1583,176
1583,2
1583,537
1584,36
1585,513
1585,69
1586,655
1587,177
1588,196
1589,83
1590,559
1591,60
1592,136
1593,366
1594,87
1595,565
1596,115
1596,213
1597,547
